Nom,Type,Latitude,Longitude,Superficie_m2
,,3968519.863933101,796632.7991976478,76628.89509986577
,,3959213.1343231085,792580.250304152,573.9479503595875
,pitch,3959441.2360422336,784007.712585893,647.32378182663
,park,3962638.422025938,786889.2020220604,3096.482566734854
,park,3961837.3316321676,786850.4139892572,4585.73886218238
,park,3964244.897119207,787059.9911367557,977.7774228017937
,park,3963795.4806629093,790036.8337827686,5440.947745775775
,park,3963782.2887029154,789929.27088191,379.59508166023545
,park,3963765.1751677487,789873.8287881693,2689.872810410846
,park,3961019.8657934414,785267.2144825042,924.6216397831802
,park,3961058.0333040575,785102.8107338109,1427.9530256764697
,,3963465.4517311696,786134.3065944333,217170.31652457456
,,3964622.950782574,786166.7370225509,34913.05467143198
,,3961154.990584784,794047.9249899561,254248.26935316614
,,3963489.5092434776,784087.8699236647,22787.776146731783
,,3964633.9856557045,783349.7221260923,72622.63327493456
,,3963418.739583535,784224.3233881019,24327.390719719588
,,3964393.095023266,784524.712752127,30383.319931417984
,,3963913.082734822,783586.2089223226,95075.03517094957
,,3964613.860525849,783085.2189999078,11696.313597306398
,,3960068.5965300323,781146.7375883933,173252.3454226277
,,3963718.57733095,782479.7816584025,26357.366908119042
,,3965433.3147682543,785286.2398764578,257310.47429065645
,,3965358.569582379,784624.1658345717,27614.345221277625
,,3963967.266172863,783123.0875478162,48083.38006127242
,,3964229.9537411616,784751.4881458431,22524.053293762478
,,3961236.984500498,777280.942866145,74845.06545240371
,,3963270.8700730377,783531.0589315387,93545.89132970925
,,3964317.7458120026,783222.2291733652,294453.6015871179
,,3959261.987786448,776813.2302032276,46159.91765702905
,,3958734.3803754197,778106.5289247471,815242.3232324095
,,3958113.446908676,777356.0044059363,105662.99079556255
,,3957599.766246398,778102.7610397672,686906.6332193869
,,3960678.001955772,781280.2787377004,26591.83949923432
,,3961136.2246932685,782168.0370424762,52150.820360427875
,park,3964579.7564518894,792431.6372199485,87514.32110406469
,,3963441.4309125827,790071.5169912223,2752.0379729981205
,pitch,3963229.8478865903,791655.2769385295,5274.28323349998
,pitch,3963242.412718617,791702.0513426581,1452.4840672942858
,park,3963177.2074576365,792282.5920901583,2903.234701665688
,pitch,3962886.913413552,788380.6849882156,2242.9529724750823
,pitch,3962744.7514855494,788158.1349256246,1006.7770550024394
,,3963359.471785165,791437.6500131208,33674.07525600328
,,3962642.4203941026,791176.5436550268,14325.893987913203
,,3962778.4600279923,791041.5032569459,54956.39531885658
,,3963146.3707332015,791261.6982059389,54923.86924544318
,,3959113.7552073607,789489.619458576,146746.6534228778
,,3958887.583617073,782531.3329856197,153864.89638364763
,,3958160.9734926783,776550.691316914,75210.60984993729
,,3958389.3141100993,779211.0073042959,104535.10612933927
,,3958332.387128645,779905.1177933596,81411.30702750193
,,3958514.223883956,777705.0583794045,88016.09870754923
,,3958256.8882420757,777782.4876435526,402661.28886524134
,,3958569.104434027,777053.4871260745,88312.25699292953
,,3958317.652066293,779867.1048449354,261103.52451688086
,,3958454.90267643,778419.566298632,106935.81726279127
,,3960910.6186685,790217.5140385432,57032.978794018054
,pitch,3959881.914479524,786219.452028169,6709.803626674921
,,3964409.266279043,788751.4160872558,2198.222292044967
,,3965364.5751015535,788552.2319291803,119.80339859772822
,,3965303.699496073,788351.6290774881,9637.708302156925
,,3965077.919498932,788425.4466046317,201.6295710169467
,,3965065.840913198,788440.5303165263,201.62989610248707
,,3965006.592445237,788435.4203244811,201.68840486369237
,,3964993.6884305263,788451.3816901661,201.64225032205553
,,3964997.1931685163,788417.8238248436,201.64205097077286
,,3964906.093294265,788460.3138025258,1994.344371582422
,,3964707.05624805,788502.9752542067,930.2041899555518
,,3964653.8142028474,788606.4426258821,8158.938095379347
,,3964558.159190442,788551.6644645832,602.87883377841
,,3964481.1881883596,788528.178070679,9417.10319499285
,,3965441.39044811,787615.8034937747,32813.613233887096
,,3965583.1234885883,787201.6028025126,4352.300661915725
,,3961300.326318022,786593.2547927691,127.35512368489798
,,3965269.8571893927,787813.8862069446,1330.4286619427583
,,3965210.1729354686,788550.6444167732,1183.8540973169834
,,3965241.231695781,788331.4491755193,295.7955818097615
,,3965066.600246019,787943.0430788638,673.1320883476352
,,3965155.3587523107,788493.924802535,335.98848184472456
,,3965141.7610217496,788455.3451858822,1935.6214915832113
,,3965320.0606880784,786967.7485508788,1564.5453652405463
,,3965144.5611368995,788552.5805503575,670.1899815997753
,,3965243.9990943833,788496.5592173754,404.3495587268152
,,3964653.76385794,788216.2781363237,1440.5039275710856
,,3965199.128280856,788389.1486547062,145.67055564883353
,,3965181.2930907854,788440.8031992539,78.73177890964243
,park,3965238.0035017235,787250.8824083211,58807.388023754356
,pitch,3965253.311917293,787215.1978596507,2980.0857310176866
,park,3965113.5449557793,787450.8943843617,1349.8704176865328
,,3965174.6033184608,787437.425585036,1002.3004170678666
,,3965189.605283855,787393.3628293948,1191.5832156886588
,,3965244.3350036587,787339.8309202638,8570.730043696143
,garden,3965296.416073693,787631.8980872892,2360.4273609032475
Jardin du Sultan,garden,3965201.7959599546,788069.7806036466,1793.0554204143873
,pitch,3961075.9263814767,788766.5218796328,1160.4386188466315
,pitch,3961032.270405193,788772.0362565173,1101.8209112740178
,pitch,3959782.459213541,784478.6851675984,10096.52100678565
,pitch,3959934.5228633666,784460.7950537094,7745.357588503102
,pitch,3959509.656046372,783739.888594267,647.4555997650424
,pitch,3959510.0390584166,783759.3105328418,647.6505892327787
,pitch,3959509.777882859,783781.4196599135,647.5545411699795
,pitch,3959509.195526596,783800.8733995338,647.5548039340258
,pitch,3959508.5789993787,783864.7738953808,647.4534780008468
,pitch,3959508.236989914,783884.2168697572,647.2886206870257
,pitch,3959508.950549168,783906.5419898388,647.4575433398555
,pitch,3959509.0870748484,783925.9714262169,647.5599009626624
,pitch,3959463.016706799,783740.8968382552,647.557444291609
,pitch,3959462.6544515444,783759.8541524181,647.4555890028396
,pitch,3959462.388326764,783781.7240086151,647.4558564848953
,pitch,3959462.7530473233,783800.6571792047,647.5581420093622
,pitch,3959462.5747447014,783832.7267770255,647.5621868815693
,pitch,3959461.6566871894,783864.5783427753,647.5626148510516
,pitch,3959461.5388139216,783883.5278702456,647.4606915106133
,pitch,3959461.3056600457,783906.3680247681,647.2922464674477
,pitch,3959461.4199232417,783925.0673941268,647.6523524878435
,pitch,3959282.79113668,781131.6297567465,13216.419277988472
,pitch,3959876.332316498,781993.4445506752,794.8316097207711
,pitch,3959801.570829035,781929.8711839349,1065.4918695815295
,,3959894.004844056,781960.5983226047,1888.131783421608
,,3959921.6047437065,781915.53519571,2109.0041897952515
,park,3961280.0295997662,788370.8624151434,12623.076054900286
,park,3959943.808094247,789372.8216579504,3810.6228806161675
,park,3961134.754257302,789268.6125272814,5134.176396393338
,,3961175.2983639617,789355.1908548347,754.1928997212256
,park,3958077.3584085223,788533.9774063993,8628.289140135983
