Zone,Type,Latitude,Longitude,Superficie_m2
,,3959804.114597157,791731.2816007802,1532.303924964897
,,3959765.6609202255,791197.7882202258,1686.555464715755
,,3959839.188191572,791115.091482417,4794.22515143252
,,3959647.5705231056,791401.6072569776,3154.152385630451
,,3960442.985395775,790830.2154584469,4567.59733929453
,,3959794.286484429,791912.5534988927,3224.63887221756
,,3959839.888191947,791771.987583354,4249.245566775409
,,3960416.897488755,790874.3530442178,4247.245115987086
,,3960073.1089335545,791218.43906243,3083.053088070086
,,3960395.0263132937,790503.9016445599,3877.2152902328303
,,3960038.3644968737,791254.0940738851,4497.441570746435
,,3959658.1627985938,791297.6098442267,3051.2391443725674
,,3960428.767633076,790311.2646695537,3379.887604755184
,,3960089.622347501,791185.3031757275,3950.9583277129373
,,3960302.857595296,790367.4960564522,4717.947821879268
,,3960363.6438903846,790562.8593310219,4106.607535706909
,,3963679.85722302,788043.1548677309,2344.8167496388437
,,3963768.2359639886,788242.2360669159,250.4484255549625
,,3963628.104126646,788203.4675004147,609.5773336702433
,,3963732.3157067285,788139.1245903741,259.22817568924984
,,3963700.9035696653,788148.2807052261,197.98722844517292
,,3963679.8914951878,788176.9417354977,181.5955955333627
,,3963658.3481664932,788190.5814201598,162.53214167209234
,,3963666.980328305,788159.3429982639,252.87608106244093
,,3963656.5395101244,788146.2503747654,153.13694320785788
,,3963565.8219885603,788308.5182862702,148.6899560815629
,,3963541.1445192425,788305.2171024178,249.64369887702549
,,3963573.762804984,788318.9157720457,167.96694792607417
,,3963581.868059834,788330.6478482051,155.53969791591828
,,3963596.886373341,788363.7489715173,526.6366889825995
,,3963545.4871921595,788637.5352486594,646.6511157136414
,,3963770.714905671,788183.8364797566,5179.7447333188975
,,3963744.532903009,788355.3487612588,1321.5262536666814
,,3963762.3584396355,788387.4507398473,346.24339190921023
,,3963730.399939367,788373.2626425194,290.5660865851103
,,3963732.058685448,788388.1209591435,415.48999652027146
,,3963733.583172219,788445.0134226352,1726.2678459367712
,,3965296.578083567,788587.5210234321,2217.4171078775635
Complexe sportif,,3959170.4539631805,780955.9769954638,2262.856011456761
,,3958995.7159801773,781079.6843299685,705.7070531922479
,,3959176.7668031766,780764.911171466,224.3584136099568
,,3964846.717208825,787155.3057164745,2204.6220951958335
,,3960307.6660480355,791044.9992418308,4618.66721367173
,industrial,3962317.6987079587,785380.7519028628,20956.228538868698
,,3960687.879104145,790345.8157206901,2075.7304712231
,,3960341.413358274,790809.1351814598,11513.955608982566
,,3960419.9501542905,790457.9495321615,3187.4524508052195
,,3960119.0957139637,790695.9410046869,5094.6747705237585
,,3960547.6079464727,790294.3459609407,2601.0551317507598
,,3960645.203471181,790314.0855355585,2272.286073434845
,,3960299.2757746754,790504.9181471007,782.2212312996207
,,3960532.621440326,790526.8254596264,10544.207905899526
,,3960360.2166245095,790960.2202406174,3659.271883420488
,,3960565.6983001158,790617.8532832495,1840.4751207432805
,,3960331.737191156,790999.929885362,4024.3876204424687
,industrial,3958618.4383214465,794552.0879153844,12349.60331562071
,,3961130.9490508847,789983.4759437563,3453.1611680277297
,,3961061.489827737,789994.3214868614,609.2618929906105
,,3961233.99028359,790234.422818007,1328.9276895822204
,,3961532.70603536,790049.0860058678,2413.19740280762
